"","x"
"6208",513.439366499162
"6209",226.941152132586
"6210",339.976368862526
"6211",188.889321252547
"6212",557.420786579966
"6213",237.230578251678
"6214",318.739412873508
"6215",297.952884345566
"6216",352.263934697601
"6217",318.069024345628
"6218",785.801923821601
"6219",457.885571121792
"6220",649.355397337701
"6221",334.041909522412
"6222",693.509764801671
"6223",845.714804720114
"6224",237.999895203052
"6225",359.5157908675
"6226",288.928404631462
"6227",256.157268566758
"6228",417.059734614887
"6229",247.142454564322
"6230",918.420556037281
"6231",497.757917656417
"6232",572.999516981324
"6233",397.788907820994
"6234",951.619037026974
"6235",451.869655642745
"6236",339.41698788904
"6237",385.561121193242
"6238",375.585782025822
"6239",445.840618553039
"6240",616.564242494816
"6241",543.378291356625
"6242",468.895106335388
"6243",486.06029225786
"6244",275.24510796498
"6245",352.045376190756
"6246",369.581701926132
"6247",304.903978302341
"6248",234.349940523792
"6249",337.735217541967
"6250",227.89602158051
"6251",568.528549415873
"6252",445.969415171039
"6253",712.154136975625
"6254",402.614802323257
"6255",1198.15959465842
"6256",598.047608523875
"6257",736.905270184026
"6258",731.989177939519
"6259",404.183774188296
"6260",419.118796490071
"6261",314.822093066015
"6262",298.751331850277
"6263",541.026940357045
"6264",640.74847079963
"6265",540.831241874348
"6266",373.749667129105
"6267",590.206873045965
"6268",497.402124079057
"6269",271.006240712228
"6270",219.480484249604
"6271",559.71431939437
"6272",620.026435410503
"6273",350.403095623911
"6274",588.201075748984
"6275",373.84099812688
"6276",507.060095026469
"6277",323.353424006767
"6278",496.390570653704
"6279",426.052653510187
"6280",624.326985216052
"6281",535.352733807899
"6282",533.720939948046
"6283",593.430278089706
"6284",275.088937476836
"6285",249.918860332303
"6286",257.839817545443
"6287",488.729004171633
"6288",244.70643984962
"6289",649.380499005469
"6290",427.276567992369
"6291",261.956746976649
"6292",304.158840738473
"6293",421.131906207115
"6294",376.78930352016
"6295",396.154682910351
"6296",307.650814122398
"6297",320.089026652118
"6298",490.29558051377
"6299",495.875946326412
"6300",620.365743705568
"6301",674.201316117208
"6302",1096.44730836117
"6303",385.878783411346
"6304",288.908955087551
"6305",942.149544362934
"6306",475.382328597593
"6307",613.730544196804
"6308",390.118098427808
"6309",415.151465081124
"6310",276.363721347537
"6311",390.331058994537
"6312",530.939010780144
"6313",1073.29535639395
"6314",328.860353523907
"6315",414.208696433659
"6316",352.562073121312
"6317",223.291481892339
"6318",605.050865014242
"6319",540.892264252687
"6320",689.382578315482
"6321",603.999913117775
"6322",548.88021605167
"6323",506.03633241842
"6324",449.362304530198
"6325",588.06559533629
"6326",364.103039433878
"6327",234.07203037065
"6328",353.876676494725
"6329",279.241743390028
"6330",257.966115738976
"6331",443.061850248797
"6332",267.077646149293
"6333",296.439538180417
"6334",462.958027298101
"6335",612.972789802339
"6336",567.157443594328
"6337",260.847460010543
"6338",639.892322777487
"6339",994.366856044328
"6340",291.411670701859
"6341",784.919126764337
"6342",293.137482985399
"6343",632.834313681847
"6344",630.835970563821
"6345",519.753123742232
"6346",429.863873573769
"6347",763.367727564839
"6348",733.388776024537
"6349",514.125939773944
"6350",286.377300085738
"6351",263.908342572385
"6352",365.203612292542
"6353",417.658498322327
"6354",544.02376590895
"6355",392.26598178386
"6356",212.369610476741
"6357",246.663105297915
"6358",764.838529937049
"6359",297.214382007671
"6360",533.904763246996
"6361",1007.1851143531
"6362",447.597590076499
"6363",394.284116866378
"6364",192.981264124449
"6365",475.787840728241
"6366",271.604665394192
"6367",235.970582402499
"6368",241.063440985947
"6369",487.506671899154
"6370",578.149821828879
"6371",461.943346357782
"6372",364.145185714143
"6373",543.08403051888
"6374",420.807569563099
"6375",549.816018910895
"6376",326.249630119666
"6377",452.451329635937
"6378",386.48806388033
"6379",399.593543734518
"6380",428.726713155852
"6381",515.616955374935
"6382",366.865382905152
"6383",416.57316368864
"6384",447.62697105608
"6385",258.56525940916
"6386",497.445365267208
"6387",370.561418628884
"6388",416.865861963295
"6389",727.924696499829
"6390",692.494901046307
"6391",397.678865834184
"6392",791.206132029761
"6393",383.144048805449
"6394",353.370099469705
"6395",408.533164147678
"6396",318.856872471885
"6397",800.604590832689
"6398",753.140515549461
"6399",692.589983391809
"6400",299.976237704567
"6401",529.52553737116
"6402",440.271925955445
"6403",252.781169512524
"6404",284.379155008706
"6405",738.96617721933
"6406",354.943733724864
"6407",379.62537057665
"6408",405.81418234583
"6409",785.693650153808
"6410",848.10401787875
"6411",309.717537397026
"6412",678.419436849792
"6413",255.647417144884
"6414",616.773034921396
"6415",428.638390431919
"6416",253.012231602055
"6417",373.299865983441
"6418",519.314499732385
"6419",258.751207509869
"6420",371.445250972345
"6421",1322.99876057024
"6422",437.384697198929
"6423",399.385143314745
"6424",667.244010324892
"6425",683.529680054828
"6426",634.78751250127
"6427",492.597566614466
"6428",590.090301416162
"6429",366.930997435068
"6430",770.120593526876
"6431",411.112394248344
"6432",441.880263114344
"6433",999.162178530296
"6434",237.212273511799
"6435",701.712242082366
"6436",476.317131626676
"6437",284.646950835176
"6438",404.330554092728
"6439",887.650088330007
"6440",350.013732393906
"6441",624.874519146191
"6442",406.551091793084
"6443",436.815332647012
"6444",392.873293298468
"6445",390.419625225271
"6446",296.93701781133
"6447",499.648107075055
"6448",322.413721360227
"6449",246.189107939143
"6450",571.945458539574
"6451",605.222714335688
"6452",408.086878226706
"6453",618.39674907298
"6454",278.207594684047
"6455",516.78512041365
"6456",219.9220266136
"6457",366.446145975498
"6458",427.700917410559
"6459",494.563388373382
"6460",277.50548062826
"6461",680.676456044282
"6462",701.529009775323
"6463",629.674590193124
"6464",278.291747067226
"6465",225.891686082681
"6466",441.616297748617
"6467",708.367222556811
"6468",308.062081075551
"6469",960.588237825287
"6470",463.310612810343
"6471",389.244004423076
"6472",361.547874847594
"6473",380.642031327395
"6474",240.828674951369
"6475",403.212765805316
"6476",1175.85008005404
"6477",399.670688392229
"6478",340.212956360459
"6479",517.917941465935
"6480",946.221386758978
"6481",229.27469546207
"6482",364.660844844729
"6483",261.742875026241
"6484",269.50961797516
"6485",278.887140248214
"6486",296.385576954359
"6487",908.225688789646
"6488",305.773313766883
"6489",231.530021293458
"6490",289.918117116497
"6491",468.43143141207
"6492",313.273890515299
"6493",628.062501339624
"6494",581.78942371459
"6495",357.205095271712
"6496",222.713516835463
"6497",538.36318548951
"6498",908.195108148018
"6499",309.500752713112
"6500",316.581251245947
"6501",238.294453244569
"6502",614.690614770089
"6503",341.458595003715
"6504",409.161368870875
"6505",480.569836871956
"6506",434.958876247729
"6507",340.519538903617
"6508",265.093583984164
"6509",315.347589258021
"6510",288.136005439726
"6511",616.813612694567
"6512",594.920765028071
"6513",498.987322618642
"6514",344.784674119046
"6515",276.143564123285
"6516",562.505025207657
"6517",288.875857022787
"6518",288.616719912318
"6519",625.025444993148
"6520",1148.27183579979
"6521",415.364115545697
"6522",391.824340804274
"6523",611.811396083507
"6524",829.713684178796
"6525",209.391857318937
"6526",569.523516049608
"6527",341.189066703196
"6528",389.542015681696
"6529",260.31351110658
"6530",628.256325528381
"6531",249.68071569619
"6532",553.816586615897
"6533",548.580053519521
"6534",234.385379384005
"6535",597.960201144944
"6536",596.476944994012
"6537",559.713453860977
"6538",473.430526426135
"6539",387.179833661498
"6540",226.039064292982
"6541",302.384869005812
"6542",460.613527365624
"6543",633.250486510636
"6544",654.228883784197
"6545",376.812403479916
"6546",222.052452037896
"6547",748.50307910299
"6548",260.712203893122
"6549",224.632951484767
"6550",514.440220078896
"6551",560.364612342227
"6552",447.210893055937
"6553",221.17026944709
"6554",498.80250024441
"6555",312.478226250534
"6556",235.472315072755
"6557",577.980802312139
"6558",224.623929272606
"6559",259.280570162236
"6560",494.515853075214
"6561",454.56481276332
"6562",615.458693664753
"6563",483.536148930633
"6564",241.575674521064
"6565",305.266642002599
"6566",331.784855405513
"6567",225.674296787947
"6568",768.255491052817
"6569",1328.16864587961
"6570",305.029498799203
"6571",757.996368720289
"6572",352.633227263413
"6573",628.057472619304
"6574",322.561343974776
"6575",424.117570396057
"6576",225.953507680688
"6577",288.312899145994
"6578",609.347929242604
"6579",525.84721860538
"6580",374.0352480553
"6581",292.513867331828
"6582",340.735505862524
"6583",646.257019351627
"6584",474.378879153393
"6585",621.643371023915
"6586",413.561467875858
"6587",232.568152703412
"6588",334.711328226391
"6589",349.345683016706
"6590",311.349527970569
"6591",443.931636051687
"6592",357.060475289461
"6593",277.108639953692
"6594",1113.88734546805
"6595",548.03765931095
"6596",270.566679158176
"6597",305.825966324084
"6598",373.532552289742
"6599",258.174423843532
"6600",333.523223135334
"6601",663.482847326807
"6602",602.80057962913
"6603",332.752291458767
"6604",381.644487482575
"6605",639.848244547235
"6606",665.334172682623
"6607",612.876356293216
"6608",244.765923692187
"6609",391.939658010957
"6610",1059.31472951817
"6611",443.722547850542
"6612",512.665126831007
"6613",332.253002872745
"6614",684.686520767751
"6615",696.314157749797
"6616",339.990026581156
"6617",647.008459766908
"6618",302.508555419271
"6619",721.867580517648
"6620",214.394475033843
"6621",716.563508279365
"6622",452.890919683438
"6623",308.966249968136
"6624",365.022641513272
"6625",545.616644681735
"6626",669.679283407345
"6627",576.974310093856
"6628",779.547269688008
"6629",574.763007179673
"6630",452.71894437897
"6631",855.381789431294
"6632",288.680633138328
"6633",377.973743666318
"6634",358.027449324624
"6635",631.347537269114
"6636",299.004322961877
"6637",491.077342031925
"6638",640.827847114921
"6639",263.919640797281
"6640",266.459437643854
"6641",331.296736669736
"6642",554.402227648789
"6643",775.808942350298
"6644",526.359563296505
"6645",688.264233371095
"6646",684.264723632418
"6647",647.581683594276
"6648",1070.41803633601
"6649",446.398509074047
"6650",245.520295331953
"6651",360.940105293066
"6652",418.68846223876
"6653",337.083356005228
"6654",479.09547750938
"6655",595.721160852381
"6656",246.963960643414
"6657",362.119624673649
"6658",234.727301202527
"6659",218.673234902788
"6660",791.269631300144
"6661",330.360039102835
"6662",285.646361201078
"6663",216.641781955798
"6664",406.992619864143
"6665",289.527616962717
"6666",236.118495398718
"6667",522.352212547363
"6668",738.160350204432
"6669",442.879019795436
"6670",290.218002517708
"6671",332.239154573884
"6672",237.303840001353
"6673",767.614128048183
"6674",259.85565996218
"6675",768.923950602866
"6676",238.025393996942
"6677",346.385415637986
"6678",405.120110357518
"6679",285.191571872228
"6680",229.560285858589
"6681",333.913570960474
"6682",334.150292174228
"6683",670.086741704344
"6684",323.022654330869
"6685",607.42526304668
"6686",261.980950023316
"6687",281.774737917266
"6688",631.873037713959
"6689",497.954273261426
"6690",507.506729378565
"6691",620.241942984459
"6692",193.57306112921
"6693",238.541148010096
"6694",989.708031018998
"6695",429.634214144671
"6696",304.105361646543
"6697",226.259768330233
"6698",642.366043958602
"6699",299.62088581512
"6700",330.567836216643
"6701",971.08050891113
"6702",599.757107119994
"6703",351.997729934493
"6704",635.537954888296
"6705",345.868636967375
"6706",256.742599339634
"6707",230.262294998947
"6708",707.876874930727
"6709",447.766537138316
"6710",659.961629052556
"6711",236.448631911072
"6712",483.15797665886
"6713",625.722083201609
"6714",309.7587282879
"6715",230.798001169866
"6716",619.967258036589
"6717",227.553341522722
"6718",308.476911496647
"6719",350.946042471592
"6720",844.213167766632
"6721",322.176252097702
"6722",385.874506916128
"6723",278.424544524192
"6724",224.551982821908
"6725",1125.47755343345
"6726",515.31571903918
"6727",364.03623931755
"6728",479.340683937829
"6729",285.454923638116
"6730",437.937114907121
"6731",644.367722007463
"6732",251.98242319024
"6733",604.204100986193
"6734",370.24068248601
"6735",301.787134669488
"6736",442.927577506919
"6737",361.580174799816
"6738",206.482775198088
"6739",755.435177539939
"6740",222.094589717388
"6741",687.287354465048
"6742",349.641045018632
"6743",754.248589213815
"6744",465.949678264168
"6745",241.360945784414
"6746",322.307983407379
"6747",436.696627480439
"6748",272.806888764189
"6749",377.582453859196
"6750",725.269303012191
"6751",229.042963959353
"6752",1283.56936117959
"6753",471.602229805644
"6754",516.410989354377
"6755",546.626820972245
"6756",357.567505115506
"6757",268.850938656866
"6758",396.68201938249
"6759",311.163675979367
"6760",217.34762853097
"6761",312.796305373205
"6762",374.111968863234
"6763",414.824356545641
"6764",489.175889020443
"6765",285.350023283981
"6766",210.863444911591
"6767",513.59735551106
"6768",324.370325835362
"6769",240.781792827592
"6770",471.642168776404
"6771",390.78695818491
"6772",521.867891487422
"6773",459.875416263884
"6774",676.771630010482
"6775",301.996119755351
"6776",251.387824708689
"6777",304.854274882379
"6778",811.100075153784
"6779",714.417409281827
"6780",546.119573947301
"6781",218.651880247514
"6782",468.115698593002
"6783",363.884070468227
"6784",540.843342338595
"6785",402.81095674076
"6786",260.655116583555
"6787",398.751737995442
"6788",305.661733516999
"6789",385.164064772261
"6790",429.936491218814
"6791",682.536995516691
"6792",253.600097608371
"6793",299.910769025793
"6794",250.241496677813
"6795",585.26199895969
"6796",693.672143421295
"6797",306.312760980089
"6798",287.245388084322
"6799",353.760277075374
"6800",225.884388001248
"6801",376.569279778406
"6802",360.241555781785
"6803",292.414369332979
"6804",759.677500528841
"6805",247.763633607766
"6806",505.352929678572
"6807",225.545801303615
"6808",454.502018993379
"6809",195.514718910002
"6810",662.165993653233
"6811",628.413890776633
"6812",973.131314030303
"6813",251.197674333297
"6814",239.338350029985
"6815",740.432372119954
"6816",448.930696552175
"6817",308.644778555874
"6818",307.310283027577
"6819",242.437928148629
"6820",241.68909103925
"6821",253.876533078135
"6822",443.959574164245
"6823",408.615053963461
"6824",306.128561951313
"6825",348.486807393587
"6826",287.189524230513
"6827",611.48324663002
"6828",375.7664709264
"6829",850.251028513684
"6830",301.899805884565
"6831",395.184841846677
"6832",223.673982688884
"6833",255.199876691864
"6834",407.627218882749
"6835",357.144064406886
"6836",281.425132972145
"6837",335.283102151555
"6838",404.309083496944
"6839",646.920775300495
"6840",381.078771354829
"6841",477.877083914252
"6842",614.271541365358
"6843",269.1831646547
"6844",544.423783466514
"6845",218.918332263791
"6846",752.445668798566
"6847",447.41157414161
"6848",222.408332241642
"6849",256.038756146343
"6850",436.648550846253
"6851",229.588322703244
"6852",584.434823024809
"6853",361.438260004039
"6854",571.959551712445
"6855",285.405152897252
"6856",332.608598602874
"6857",285.579064100607
"6858",294.008022707441
"6859",633.685579788293
"6860",383.94282782229
"6861",625.430391629857
"6862",295.123756832486
"6863",356.89213152948
"6864",392.27621055267
"6865",454.325313814999
"6866",604.944422204688
"6867",784.387828531217
"6868",558.711688676811
"6869",605.214611997476
"6870",255.873975565512
"6871",445.167469260078
"6872",217.341757074645
"6873",255.785077633224
"6874",258.244601121905
"6875",439.481648686377
"6876",417.758375405893
"6877",255.62378460487
"6878",390.881401691528
"6879",300.258300497156
"6880",346.347370946773
"6881",561.381008239225
"6882",425.7504659459
"6883",296.090085123277
"6884",260.673363110082
"6885",375.182796894479
"6886",331.038558522893
"6887",429.963317423241
"6888",298.378031128214
"6889",752.405961123367
"6890",226.459571202773
"6891",217.811267088764
"6892",511.939045128607
"6893",460.71231022099
"6894",413.256911541864
"6895",421.670736388806
"6896",399.04033805246
"6897",241.254440032458
"6898",243.902821600301
"6899",266.209860261219
"6900",572.677634300542
"6901",420.509956507
"6902",223.007794046018
"6903",247.300637611616
"6904",323.643211228604
"6905",468.319058300551
"6906",481.043100997897
"6907",316.584103929607
"6908",521.195066725125
"6909",612.555113212
"6910",600.823409231199
"6911",352.895115193811
"6912",461.179575124964
"6913",221.343007743974
"6914",744.607989900622
"6915",478.691560561291
"6916",1044.53784471585
"6917",237.749851527259
"6918",621.742509464581
"6919",271.880365139318
"6920",352.257674906068
"6921",577.857879774263
"6922",1301.49433429909
"6923",335.28388156777
"6924",416.273529633332
"6925",407.758116100436
"6926",700.159371659436
"6927",366.068188265395
"6928",440.852513831097
"6929",571.525416363412
"6930",781.958889630892
"6931",370.214865292898
"6932",774.581011982348
"6933",680.713687144442
"6934",840.911640982905
"6935",513.50418889436
"6936",434.288936262818
"6937",451.67828741249
"6938",321.225471893804
"6939",759.674269459674
"6940",422.441280728475
"6941",664.762688935653
"6942",259.730096996549
"6943",314.247808133506
"6944",232.191187219957
"6945",488.597799373779
"6946",708.792856630247
"6947",539.092227183498
"6948",597.073231963118
"6949",326.812919047365
"6950",525.382242579913
"6951",283.947726635189
"6952",269.434524065402
"6953",245.080872390964
"6954",265.777076157482
"6955",193.475001922103
"6956",247.154048864219
"6957",262.619950575863
"6958",325.414193058662
"6959",498.668330163566
"6960",264.964696847386
"6961",260.754056389385
"6962",378.478157336688
"6963",461.799178244753
"6964",915.968204373582
"6965",568.74770494256
"6966",396.656959860944
"6967",648.759406833679
"6968",796.44816746649
"6969",520.719925185744
"6970",1195.48074210131
"6971",238.397679217643
"6972",382.382113391926
"6973",456.515966139827
"6974",411.933569515772
"6975",458.731486419831
"6976",672.438096972105
"6977",582.133018598504
"6978",210.641456330212
"6979",227.848718093613
"6980",655.994570254197
"6981",1046.34781383382
"6982",246.741222480075
"6983",641.227728896807
"6984",503.97738414748
"6985",578.473014066771
"6986",427.37652550759
"6987",835.176942051017
"6988",354.631843509034
"6989",245.216337694767
"6990",342.689417133937
